model,location_key,sec_condition,sec_illumination,sec_weather,pixel_agreement_masked,conf_threshold
SegFormer-B0,13551916,Sunset-FOGGY,Sunset,FOGGY,0.8235877752304077,0.8
SegFormer-B0,13551916,Sunset-RAIN,Sunset,RAIN,0.946709394454956,0.8
SegFormer-B0,13551916,Night-EXTRASUNNY,Night,EXTRASUNNY,0.8048161268234253,0.8
SegFormer-B0,13551916,Night-FOGGY,Night,FOGGY,0.4294167459011078,0.8
SegFormer-B0,13551916,Night-RAIN,Night,RAIN,0.8237800598144531,0.8
SegFormer-B0,140120,Day-FOGGY,Day,FOGGY,0.993947446346283,0.8
SegFormer-B0,140120,Day-RAIN,Day,RAIN,0.9943757653236389,0.8
SegFormer-B0,140120,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9841653108596802,0.8
SegFormer-B0,140120,Sunset-FOGGY,Sunset,FOGGY,0.9836192727088928,0.8
SegFormer-B0,140120,Sunset-RAIN,Sunset,RAIN,0.9906957149505615,0.8
SegFormer-B0,140120,Night-EXTRASUNNY,Night,EXTRASUNNY,0.7518326044082642,0.8
SegFormer-B0,140120,Night-FOGGY,Night,FOGGY,0.5811144113540649,0.8
SegFormer-B0,140120,Night-RAIN,Night,RAIN,0.7258858680725098,0.8
SegFormer-B0,14450,Day-FOGGY,Day,FOGGY,0.9926848411560059,0.8
SegFormer-B0,14450,Day-RAIN,Day,RAIN,0.9743759036064148,0.8
SegFormer-B0,14450,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.8292917013168335,0.8
SegFormer-B0,14450,Sunset-FOGGY,Sunset,FOGGY,0.805121660232544,0.8
SegFormer-B0,14450,Sunset-RAIN,Sunset,RAIN,0.9397379159927368,0.8
SegFormer-B0,14450,Night-EXTRASUNNY,Night,EXTRASUNNY,0.8465427756309509,0.8
SegFormer-B0,14450,Night-FOGGY,Night,FOGGY,0.7712686061859131,0.8
SegFormer-B0,14450,Night-RAIN,Night,RAIN,0.8499994874000549,0.8
SegFormer-B0,1481258,Day-FOGGY,Day,FOGGY,0.9477052092552185,0.8
SegFormer-B0,1481258,Day-RAIN,Day,RAIN,0.9693792462348938,0.8
SegFormer-B0,1481258,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.8946632742881775,0.8
SegFormer-B0,1481258,Sunset-FOGGY,Sunset,FOGGY,0.8186551332473755,0.8
SegFormer-B0,1481258,Sunset-RAIN,Sunset,RAIN,0.9638461470603943,0.8
SegFormer-B0,1481258,Night-EXTRASUNNY,Night,EXTRASUNNY,0.8028818964958191,0.8
SegFormer-B0,1481258,Night-FOGGY,Night,FOGGY,0.8206024765968323,0.8
SegFormer-B0,1481258,Night-RAIN,Night,RAIN,0.7220929861068726,0.8
SegFormer-B0,153373,Day-FOGGY,Day,FOGGY,0.9776438474655151,0.8
SegFormer-B0,153373,Day-RAIN,Day,RAIN,0.9679738879203796,0.8
SegFormer-B0,153373,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9569785594940186,0.8
SegFormer-B0,153373,Sunset-FOGGY,Sunset,FOGGY,0.9318683743476868,0.8
SegFormer-B0,153373,Sunset-RAIN,Sunset,RAIN,0.973120927810669,0.8
SegFormer-B0,153373,Night-EXTRASUNNY,Night,EXTRASUNNY,0.8709436655044556,0.8
SegFormer-B0,153373,Night-FOGGY,Night,FOGGY,0.8897671103477478,0.8
SegFormer-B0,153373,Night-RAIN,Night,RAIN,0.8902647495269775,0.8
SegFormer-B0,1541895,Day-FOGGY,Day,FOGGY,0.9812756776809692,0.8
SegFormer-B0,1541895,Day-RAIN,Day,RAIN,0.9920981526374817,0.8
SegFormer-B0,1541895,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9209534525871277,0.8
SegFormer-B0,1541895,Sunset-FOGGY,Sunset,FOGGY,0.9392877817153931,0.8
SegFormer-B0,1541895,Sunset-RAIN,Sunset,RAIN,0.941101610660553,0.8
SegFormer-B0,1541895,Night-EXTRASUNNY,Night,EXTRASUNNY,0.8056814074516296,0.8
SegFormer-B0,1541895,Night-FOGGY,Night,FOGGY,0.6604864001274109,0.8
SegFormer-B0,1541895,Night-RAIN,Night,RAIN,0.6441875100135803,0.8
SegFormer-B0,1581031,Day-FOGGY,Day,FOGGY,0.8820117115974426,0.8
SegFormer-B0,1581031,Day-RAIN,Day,RAIN,0.9277298450469971,0.8
SegFormer-B0,1581031,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9016196727752686,0.8
SegFormer-B0,1581031,Sunset-FOGGY,Sunset,FOGGY,0.7795376777648926,0.8
SegFormer-B0,1581031,Sunset-RAIN,Sunset,RAIN,0.9451013207435608,0.8
SegFormer-B0,1581031,Night-EXTRASUNNY,Night,EXTRASUNNY,0.7783849239349365,0.8
SegFormer-B0,1581031,Night-FOGGY,Night,FOGGY,0.6934217214584351,0.8
SegFormer-B0,1581031,Night-RAIN,Night,RAIN,0.8110852241516113,0.8
SegFormer-B0,159401,Day-FOGGY,Day,FOGGY,0.976438581943512,0.8
SegFormer-B0,159401,Day-RAIN,Day,RAIN,0.9100008606910706,0.8
SegFormer-B0,159401,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9442530274391174,0.8
SegFormer-B0,159401,Sunset-FOGGY,Sunset,FOGGY,0.9396955370903015,0.8
SegFormer-B0,159401,Sunset-RAIN,Sunset,RAIN,0.9361820220947266,0.8
SegFormer-B0,159401,Night-EXTRASUNNY,Night,EXTRASUNNY,0.9256234169006348,0.8
SegFormer-B0,159401,Night-FOGGY,Night,FOGGY,0.5449565052986145,0.8
SegFormer-B0,159401,Night-RAIN,Night,RAIN,0.8943802118301392,0.8
SegFormer-B0,182335,Day-FOGGY,Day,FOGGY,0.9724469184875488,0.8
SegFormer-B0,182335,Day-RAIN,Day,RAIN,0.9724556803703308,0.8
SegFormer-B0,182335,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9671943783760071,0.8
SegFormer-B0,182335,Sunset-FOGGY,Sunset,FOGGY,0.9397011995315552,0.8
SegFormer-B0,182335,Sunset-RAIN,Sunset,RAIN,0.9638805389404297,0.8
SegFormer-B0,182335,Night-EXTRASUNNY,Night,EXTRASUNNY,0.8227021098136902,0.8
SegFormer-B0,182335,Night-FOGGY,Night,FOGGY,0.8206435441970825,0.8
SegFormer-B0,182335,Night-RAIN,Night,RAIN,0.8065423965454102,0.8
SegFormer-B0,187713,Day-FOGGY,Day,FOGGY,0.9859083890914917,0.8
SegFormer-B0,187713,Day-RAIN,Day,RAIN,0.986104428768158,0.8
SegFormer-B0,187713,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9552186131477356,0.8
SegFormer-B0,187713,Sunset-FOGGY,Sunset,FOGGY,0.9451619982719421,0.8
SegFormer-B0,187713,Sunset-RAIN,Sunset,RAIN,0.9809443950653076,0.8
SegFormer-B0,187713,Night-EXTRASUNNY,Night,EXTRASUNNY,0.8496417999267578,0.8
SegFormer-B0,187713,Night-FOGGY,Night,FOGGY,0.9260798692703247,0.8
SegFormer-B0,187713,Night-RAIN,Night,RAIN,0.8532810211181641,0.8
SegFormer-B0,19188,Day-FOGGY,Day,FOGGY,0.9956427812576294,0.8
SegFormer-B0,19188,Day-RAIN,Day,RAIN,0.9573917984962463,0.8
SegFormer-B0,19188,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9945943355560303,0.8
SegFormer-B0,19188,Sunset-FOGGY,Sunset,FOGGY,0.9689993262290955,0.8
SegFormer-B0,19188,Sunset-RAIN,Sunset,RAIN,0.9543352127075195,0.8
SegFormer-B0,19188,Night-EXTRASUNNY,Night,EXTRASUNNY,0.6320966482162476,0.8
SegFormer-B0,19188,Night-FOGGY,Night,FOGGY,0.615086555480957,0.8
SegFormer-B0,19188,Night-RAIN,Night,RAIN,0.6342406272888184,0.8
SegFormer-B0,196581,Day-FOGGY,Day,FOGGY,0.9913713335990906,0.8
SegFormer-B0,196581,Day-RAIN,Day,RAIN,0.9873015284538269,0.8
SegFormer-B0,196581,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.8801063299179077,0.8
SegFormer-B0,196581,Sunset-FOGGY,Sunset,FOGGY,0.8720356225967407,0.8
SegFormer-B0,196581,Sunset-RAIN,Sunset,RAIN,0.94243985414505,0.8
SegFormer-B0,196581,Night-EXTRASUNNY,Night,EXTRASUNNY,0.6783807277679443,0.8
SegFormer-B0,196581,Night-FOGGY,Night,FOGGY,0.5604858994483948,0.8
SegFormer-B0,196581,Night-RAIN,Night,RAIN,0.657446026802063,0.8
SegFormer-B0,2041817,Day-FOGGY,Day,FOGGY,0.8906219601631165,0.8
SegFormer-B0,2041817,Day-RAIN,Day,RAIN,0.8885182738304138,0.8
SegFormer-B0,2041817,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.8854267001152039,0.8
SegFormer-B0,2041817,Sunset-FOGGY,Sunset,FOGGY,0.820719838142395,0.8
SegFormer-B0,2041817,Sunset-RAIN,Sunset,RAIN,0.8728692531585693,0.8
SegFormer-B0,2041817,Night-EXTRASUNNY,Night,EXTRASUNNY,0.80267333984375,0.8
SegFormer-B0,2041817,Night-FOGGY,Night,FOGGY,0.4437984526157379,0.8
SegFormer-B0,2041817,Night-RAIN,Night,RAIN,0.5503666996955872,0.8
SegFormer-B0,21692,Day-FOGGY,Day,FOGGY,0.9284108877182007,0.8
SegFormer-B0,21692,Day-RAIN,Day,RAIN,0.9447944164276123,0.8
