model,sec_condition,class_id,class_name,retention_masked,mass_clean_masked,conf_threshold
Mask2Former-Swin-L,Sunset-FOGGY,13,car,0.9824380748444497,3737859.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,14,truck,0.4317217792565967,539169.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,15,bus,0.0,879.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,16,train,0.0,11994.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,17,motorcycle,0.7257388619320688,18136.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,18,bicycle,0.4938373371015858,25476.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,0,road,0.9976578707515327,49153991.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,1,sidewalk,0.8300629976610548,1416878.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,2,building,0.9629787506091629,17784651.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,3,wall,0.7325273911330615,2540877.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,4,fence,0.8612237982956128,1292664.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,5,pole,0.8152230939316442,1155074.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,6,traffic light,0.8794488209181186,38971.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,7,traffic sign,0.5285381832620109,181336.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,8,vegetation,0.9523387983103762,18810814.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,9,terrain,0.8623320775495442,2825858.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,10,sky,0.9980236043730598,43586415.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,11,person,0.8333261471331372,115963.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,12,rider,0.6506764168190128,41025.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,13,car,0.9759707361888182,3737859.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,14,truck,0.49506740929096443,539169.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,15,bus,0.0,879.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,16,train,0.0,11994.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,17,motorcycle,0.960189677988531,18136.0,0.8
Mask2Former-Swin-L,Sunset-RAIN,18,bicycle,0.6326738891505731,25476.0,0.8
