model,reference_model,loc_id,sec_condition,pixel_agreement_masked,metric_type,reference_input_source,model_input_source,adapter_input_norm,conf_threshold,coverage_masked,coverage_ref_masked,clean_path,sec_path
Mask2Former-Swin-L,SegFormer-B5,1119803,Sunset-RAIN,0.9406826225831164,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9738677144050598,0.9738677144050598,/home/ace/Downloads/Dataset/Day/1119803_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/1119803_Sunset_RAIN.png
DeepLabV3+-R101,SegFormer-B5,11131433,Day-RAIN,0.9258371119149721,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9826337695121765,0.9826337695121765,/home/ace/Downloads/Dataset/Day/11131433_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/11131433_Day_RAIN.png
DeepLabV3+-R101,SegFormer-B5,1119803,Sunset-RAIN,0.9307217395130636,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9738677144050598,0.9738677144050598,/home/ace/Downloads/Dataset/Day/1119803_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/1119803_Sunset_RAIN.png
PIDNet-M,SegFormer-B5,11131433,Day-RAIN,0.8660492343130622,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9826337695121765,0.9826337695121765,/home/ace/Downloads/Dataset/Day/11131433_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/11131433_Day_RAIN.png
PIDNet-M,SegFormer-B5,1119803,Sunset-RAIN,0.867658523981826,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9738677144050598,0.9738677144050598,/home/ace/Downloads/Dataset/Day/1119803_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/1119803_Sunset_RAIN.png
DDRNet-23,SegFormer-B5,11131433,Day-RAIN,0.4766570315164459,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9826337695121765,0.9826337695121765,/home/ace/Downloads/Dataset/Day/11131433_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/11131433_Day_RAIN.png
DDRNet-23,SegFormer-B5,1119803,Sunset-RAIN,0.4195062263276006,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9738677144050598,0.9738677144050598,/home/ace/Downloads/Dataset/Day/1119803_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/1119803_Sunset_RAIN.png
SegFormer-B0,SegFormer-B5,112170,Day-RAIN,0.8679587363226433,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9654345512390137,0.9654345512390137,/home/ace/Downloads/Dataset/Day/112170_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/112170_Day_RAIN.png
SegFormer-B0,SegFormer-B5,1124819,Day-FOGGY,0.8732861979526234,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9629062414169312,0.9629062414169312,/home/ace/Downloads/Dataset/Day/1124819_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/1124819_Day_FOGGY.png
SegFormer-B2,SegFormer-B5,112170,Day-RAIN,0.8695088557114274,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9654345512390137,0.9654345512390137,/home/ace/Downloads/Dataset/Day/112170_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/112170_Day_RAIN.png
SegFormer-B2,SegFormer-B5,1124819,Day-FOGGY,0.8102565097376477,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9629062414169312,0.9629062414169312,/home/ace/Downloads/Dataset/Day/1124819_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/1124819_Day_FOGGY.png
