model,reference_model,sec_condition,class_id,class_name,retention_masked,mass_clean_masked,mass_reference_masked,metric_type,conf_threshold
SegFormer-B0,SegFormer-B5,Night-FOGGY,0,road,0.9575720216404855,3956658.0,3956658.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,1,sidewalk,0.21051571115457574,610458.0,610458.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,2,building,0.9049044168090465,2071337.0,2071337.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,3,wall,0.22126879564657023,698300.0,698300.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,4,fence,0.46429450809666756,190881.0,190881.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,5,pole,0.20955109837631328,62820.0,62820.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,6,traffic light,0.0,168.0,168.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,7,traffic sign,0.0,3995.0,3995.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,8,vegetation,0.7556237738741919,4129878.0,4129878.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,9,terrain,0.6759629676728047,479689.0,479689.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,10,sky,0.5311571599798878,3046908.0,3046908.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,11,person,0.0,6862.0,6862.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,12,rider,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,13,car,0.7978468960959583,584087.0,584087.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,14,truck,0.058445508418036966,101924.0,101924.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,15,bus,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,16,train,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,17,motorcycle,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,18,bicycle,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,0,road,0.9618015172981852,6288810.0,6288810.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,1,sidewalk,0.5266650310507036,705137.0,705137.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,2,building,0.7861534786939275,2411566.0,2411566.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,3,wall,0.6155280674142567,243984.0,243984.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,4,fence,0.34347602937017524,95471.0,95471.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,5,pole,0.5073299649390406,188814.0,188814.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,6,traffic light,0.32827306130342293,10342.0,10342.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,7,traffic sign,0.04962820619934832,23938.0,23938.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,8,vegetation,0.8752720460499044,3452081.0,3452081.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,9,terrain,0.059943813492750346,375535.0,375535.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,10,sky,0.8211724029070465,5289905.0,5289905.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,11,person,0.10785594327299869,5359.0,5359.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,12,rider,0.008830950378469302,2378.0,2378.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,13,car,0.9499211169367274,337208.0,337208.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,14,truck,0.0,45880.0,45880.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,15,bus,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,16,train,0.0,4979.0,4979.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,17,motorcycle,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,18,bicycle,0.7990690457719162,1289.0,1289.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,0,road,0.9327107190080582,3847968.0,3847968.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,1,sidewalk,0.28682607756173845,273047.0,273047.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,2,building,0.8011648770900117,1624034.0,1624034.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,3,wall,0.5562682560371296,321469.0,321469.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,4,fence,0.6586212487164884,240551.0,240551.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,5,pole,0.32030090945691797,181317.0,181317.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,6,traffic light,0.32201610080504023,8571.0,8571.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,7,traffic sign,0.22578438915961357,23394.0,23394.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,8,vegetation,0.8625500587515887,1042525.0,1042525.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,9,terrain,0.8183493835900039,74869.0,74869.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,10,sky,0.2596570673164157,3857900.0,3857900.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,11,person,0.6458990536277602,32968.0,32968.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,12,rider,0.0,63.0,63.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,13,car,0.7242500098294911,839311.0,839311.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,14,truck,0.006612888096801426,21322.0,21322.0,reference_clean_vs_model_adverse,0.6
